word,count
muito,1568458
agora,1181210
fazer,1055940
certo,918318
dizer,741447
mesmo,699330
coisa,669387
tempo,621951
nunca,608898
ainda,558497
favor,521946
noite,514681
ficar,424486
claro,416979
tinha,406994
falar,406564
antes,404707
pouco,402632
homem,383305
lugar,365584
estar,352830
disso,349418
mundo,315223
saber,313726
outro,282121
nosso,276632
volta,238641
sabia,232259
menos,230759
algum,229208
carro,217940
amigo,214659
daqui,206026
parte,200135
feliz,197259
tarde,169685
gosto,169631
pegar,164895
gente,163727
desde,154598
tanto,154098
legal,153361
jeito,151950
quase,144341
forma,141405
matar,140732
perto,139350
ajuda,133530
sorte,131022
morte,131003
papai,129449
levar,127299
feito,126740
morto,126021
porta,125738
mesma,122368
ouvir,120219
ideia,115356
parar,112758
corpo,111546
chefe,111526
poder,111160
conta,110148
longe,109588
terra,107896
droga,107699
ontem,107458
causa,107218
maior,98905
velho,97946
festa,97006
tirar,95803
comer,95065
cinco,92861
tomar,89968
vindo,87004
certa,87002
culpa,85194
forte,83276
viver,83083
final,80619
falta,79616
mudar,79150
pagar,78043
plano,77778
achar,77442
jovem,76149
olhar,75621
ponto,75489
calma,74528
filme,74508
pedir,74492
louco,74120
ligar,72450
jogar,68467
livro,68430
adeus,68420
resto,65168
aonde,63320
casar,59639
amiga,59231
deste,58773
livre,57552
mente,57490
visto,56158
sinal,55795
grupo,55772
andar,55660
rosto,55388
preso,54749
linha,52776
chama,52320
idade,51552
crime,51531
local,51263
lindo,50868
natal,50358
rapaz,50099
campo,49189
lista,48356
sonho,48276
beber,47952
ordem,47897
hotel,47633
caixa,47615
monte,44907
banco,44685
fundo,44248
passa,43763
carta,43203
papel,43059
capaz,42320
penso,42109
velha,41976
prova,41752
barco,41712
tocar,40829
breve,40788
chave,40172
haver,39736
roupa,39400
pobre,38412
vista,38104
padre,37404
louca,37209
carne,37029
cheio,36694
fugir,36637
teste,36594
junto,36445
passo,36365
longo,36184
igual,35954
bater,35842
basta,35786
ambos,35670
cerca,34431
norte,34233
toque,33742
lidar,33506
honra,33197
clube,32545
justo,32416
corte,32329
vinho,31894
comum,31675
disto,31387
tanta,31357
raiva,30554
banho,29461
bolsa,29339
bomba,29030
pista,28342
criar,27646
risco,27585
negro,27506
cheia,26951
longa,26831
piada,26631
subir,25714
acima,25335
busca,25246
praia,24767
navio,24347
limpo,24321
bravo,24229
pedra,24147
peixe,23995
total,23784
major,23672
diabo,23404
redor,23016
menor,22997
virar,22971
perna,22965
nariz,22660
beijo,22576
troca,22459
verde,22418
passe,22309
apoio,22307
banda,22159
valor,22085
presa,21909
leite,21643
marca,21301
dever,21280
vento,21191
palco,20663
ponte,20580
noiva,20557
obter,20293
salvo,19884
preto,19279
perda,19187
calor,19155
feita,19064
morar,19016
porco,18962
enfim,18806
fonte,18792
firme,18688
usado,18545
casal,18390
oeste,18361
chuva,18241
bordo,18233
acaso,18093
baile,18031
geral,17989
santo,17702
aviso,17613
tenta,17341
lance,17079
primo,17038
peito,16957
humor,16879
curso,16875
exato,16772
falso,16666
posto,16515
venda,16456
golpe,16227
reino,16121
canto,16037
leste,15956
prato,15724
vazio,15606
exame,15510
extra,15424
clara,15413
chato,15269
fraco,15201
magia,15155
mexer,14872
costa,14605
bando,14486
queda,14321
corda,14188
santa,14123
bolso,14052
lavar,14028
motor,14010
negra,13863
grave,13695
massa,13652
regra,13632
mover,13521
torre,13473
fumar,13391
placa,13247
conto,13215
carga,12851
bruxa,12670
cruel,12567
areia,12536
baixa,12507
senso,12496
cofre,12475
tento,12464
canal,12241
sexta,12010
tribo,11958
vidro,11944
gordo,11908
custa,11822
ferro,11731
disco,11717
noivo,11640
torta,11545
pulso,11429
pular,11233
torno,11112
cobra,11083
crise,11017
molho,10969
metal,10957
burro,10911
terno,10907
nadar,10678
curto,10558
votar,10523
clima,10513
ganho,10485
ritmo,10472
museu,10388
falha,10066
febre,9944
colar,9872
moral,9871
lorde,9857
russo,9677
ponta,9606
porto,9592
piano,9591
lenda,9559
ficha,9539
vinha,9494
doido,9438
coroa,9417
valer,9405
turno,9392
civil,9366
cargo,9255
trato,9208
barba,9083
ombro,9050
turma,9016
atual,8899
prata,8891
durar,8886
calar,8725
nobre,8714
puxar,8676
judeu,8653
meter,8648
moeda,8631
letra,8631
tinta,8485
salva,8474
frota,8471
prazo,8467
frase,8462
pausa,8455
creme,8453
cinto,8367
golfe,8287
curar,8261
salto,8244
duplo,8209
conde,8171
besta,8139
marco,8025
dente,8023
arroz,7980
atriz,7975
negar,7972
drama,7865
solar,7845
salve,7754
sabor,7535
suave,7485
julho,7457
folha,7446
grama,7403
larga,7375
dobro,7285
circo,7260
rocha,7169
ideal,7144
custo,7121
rezar,7111
setor,7074
grato,7064
selva,7032
trago,7028
odiar,6991
solto,6972
posse,6910
troco,6837
abril,6816
firma,6795
parto,6766
amada,6665
senha,6632
couro,6561
deter,6543
pasta,6497
barra,6402
trono,6401
notar,6379
termo,6358
ferir,6316
vosso,6207
feira,6196
cento,6101
mando,6097
tigre,6069
lento,6046
milho,6000
cobre,5830
pinto,5827
aluno,5789
dieta,5717
chata,5647
radar,5629
beira,5614
macho,5610
surra,5606
rolar,5602
deusa,5580
texto,5573
chute,5531
bloco,5496
poema,5441
nuvem,5432
praga,5429
cinza,5402
blusa,5358
curva,5343
faixa,5333
sumir,5296
forno,5295
trair,5290
grito,5192
rifle,5171
renda,5116
duelo,5104
pilha,5083
tonto,5079
touro,5040
focar,5031
fluxo,5021
bingo,5000
pesca,5000
temer,4944
cavar,4934
greve,4918
tumor,4855
duque,4849
digno,4773
testa,4715
ciclo,4643
podre,4566
balde,4527
expor,4503
fatal,4498
mijar,4462
poeta,4460
gesto,4439
cabra,4438
autor,4411
gripe,4405
cesta,4394
multa,4389
bispo,4359
metro,4335
dobra,4283
junta,4280
vapor,4266
mosca,4264
zumbi,4260
surdo,4250
morro,4201
susto,4169
elite,4151
atuar,4136
choro,4124
tenda,4112
farsa,4096
fruta,4049
cauda,4045
tampa,4015
vital,4010
bicha,4005
farto,3989
asilo,3975
fardo,3962
urina,3960
punho,3937
vigia,3862
delta,3798
grego,3780
madre,3775
manga,3756
cueca,3717
verme,3707
servo,3674
coral,3666
drink,3665
girar,3628
ativa,3614
fenda,3591
altar,3581
culto,3572
pouso,3559
ceder,3551
ativo,3537
pacto,3515
adiar,3510
drive,3509
magro,3507
errar,3425
rever,3417
tenso,3374
missa,3332
gasto,3290
jurar,3290
unido,3270
anual,3263
sugar,3260
leito,3196
veado,3195
bicho,3175
etapa,3167
pisar,3167
frito,3166
guiar,3164
pudim,3128
sexto,3127
chapa,3119
casca,3115
brisa,3098
marta,3085
farol,3073
serra,3069
jaula,3046
tropa,3038
tumba,3031
astro,3013
borda,3013
boato,2986
safar,2942
depor,2939
arena,2913
lenha,2902
sonda,2898
secar,2876
fator,2874
freio,2872
norma,2864
bruto,2828
credo,2827
casco,2810
punir,2799
sutil,2795
monge,2795
naval,2781
grade,2775
letal,2760
gozar,2726
armar,2667
trigo,2664
poste,2635
bolha,2620
rival,2613
peste,2609
latim,2594
serio,2592
palma,2589
tosse,2588
supor,2549
danar,2522
judia,2503
rodar,2501
lunar,2498
fruto,2495
medir,2489
pesar,2464
balsa,2456
pinta,2435
macio,2417
fedor,2411
feroz,2411
licor,2368
milha,2355
gerar,2353
fecho,2344
vazar,2340
sarro,2286
ganso,2280
entao,2276
tocha,2261
globo,2256
ladra,2234
palha,2227
fibra,2202
corvo,2198
largo,2183
usina,2179
tango,2175
garfo,2158
apito,2146
golfo,2138
rumor,2131
quilo,2126
cosmo,2108
pilar,2104
afeto,2081
radio,2064
fatia,2056
impor,2053
genro,2042
verso,2041
obvio,2024
judas,2022
arame,2013
apple,1992
galho,1988
manto,1985
prego,1969
surto,1922
capuz,1915
turco,1904
motim,1889
ronda,1884
flora,1884
forca,1870
porca,1866
janta,1862
garra,1855
banca,1847
pombo,1847
meigo,1840
esqui,1829
irado,1826
citar,1824
porte,1805
gabar,1769
lagoa,1767
saque,1762
greta,1762
rampa,1755
vocal,1735
nobel,1730
furar,1723
gueto,1719
menta,1717
sogro,1712
aroma,1699
adega,1696
pleno,1692
tutor,1677
sacar,1674
lente,1661
caber,1656
opera,1613
nervo,1613
clone,1605
cerco,1585
bruxo,1582
vigor,1581
trote,1579
sopro,1578
brega,1572
gesso,1566
salsa,1565
pente,1559
fezes,1553
adaga,1548
polvo,1541
vasto,1522
mania,1509
cisne,1496
imune,1471
viola,1460
libra,1456
cesto,1441
trama,1434
aveia,1425
suado,1422
seita,1420
chico,1410
socar,1409
jarro,1396
assar,1396
ducha,1381
dobre,1380
caldo,1369
cervo,1365
manha,1359
veloz,1358
molde,1347
litro,1346
ruivo,1345
jarra,1342
rapto,1342
orgia,1322
nudez,1319
bacia,1306
rural,1303
penal,1300
canoa,1295
polar,1277
feixe,1276
monta,1227
blefe,1219
valsa,1210
bambu,1209
atras,1203
fluir,1190
bonde,1171
furto,1169
gales,1164
amplo,1163
idoso,1147
hindu,1145
temor,1143
posta,1137
mirar,1109
dueto,1100
fixar,1096
plana,1090
magoa,1090
manta,1080
usual,1077
lazer,1061
zebra,1060
cisco,1058
media,1056
covil,1047
broca,1045
prece,1026
malha,1019
vagar,1015
dardo,1007
congo,1006
rigor,1004
fungo,1003
belga,999
xampu,995
pasto,981
anzol,981
loura,978
mural,976
pomba,976
cetro,975
vespa,973
anexo,966
truta,964
posar,961
bazar,960
brasa,959
fossa,957
ninar,957
titia,952
calda,950
sabre,949
afora,947
remar,946
fosso,938
graxa,930
otimo,925
arder,918
couve,917
canil,916
ronco,912
gorro,907
prado,906
pavor,905
pavio,901
agudo,898
aceso,891
pingo,888
catar,887
gaita,878
cupom,875
verba,873
micro,870
horta,866
lider,864
ileso,859
trave,858
grilo,856
aorta,854
abade,852
atlas,847
nasal,844
cinta,843
casta,841
banjo,841
ostra,839
renal,830
denso,826
suite,824
latir,819
busto,817
azedo,813
saldo,804
limbo,804
nevar,797
facil,795
jejum,794
banal,794
signo,788
potro,785
banha,761
lebre,759
morno,756
grado,751
corno,751
louro,742
chino,741
barca,741
trapo,740
ousar,738
treta,734
tiara,733
ogiva,731
gosma,724
harpa,722
hurra,720
samba,720
gerir,718
ditar,714
viril,710
gruta,709
linho,706
safra,700
murro,698
reter,693
rolha,693
banir,693
hidra,693
gongo,690
perua,689
cobro,686
verbo,686
deque,682
amora,681
lombo,678
pedal,677
prega,676
falir,675
mecha,675
bolar,674
polir,673
copia,672
saida,670
fuzil,668
porre,667
sarar,666
domar,662
picar,659
lesma,658
optar,656
forro,656
babar,650
larva,650
manco,647
repor,646
cuspe,646
chita,639
fobia,638
musgo,634
topar,633
poupa,633
relva,632
lapso,630
prole,629
farda,627
pomar,623
gnomo,614
tique,611
arcar,604
senil,602
vadio,599
talco,599
somar,595
unico,591
liceu,590
lixar,586
cidra,584
sunga,579
boina,578
heroi,573
seiva,571
falho,570
haste,564
totem,562
lotus,559
pulga,557
goela,557
tecla,556
oliva,553
torso,548
tapar,547
pique,546
cetim,542
audio,539
cacto,537
rasto,536
cravo,534
enjoo,532
lerdo,531
moita,529
malte,523
edema,521
touca,517
clero,515
horda,512
pauta,510
animo,510
antro,507
parvo,505
ganga,502
ereto,502
arado,501
laudo,500
donde,498
quota,497
hiena,495
mambo,492
leque,489
canja,488
forum,486
amaro,485
prior,484
recua,484
ebola,483
broto,479
choca,478
pudor,477
funda,471
rasgo,470
pluma,468
bagre,466
bucal,466
capim,465
nivel,464
misto,462
cifra,462
sitio,462
regar,461
magma,459
coice,459
pardo,458
tombo,455
risca,451
foice,449
frear,447
virus,446
aliar,444
agito,438
trevo,436
tanga,435
mamar,434
mimar,428
gemer,428
adubo,424
tenor,421
sesta,418
tosco,416
aceno,416
zinco,415
hasta,411
vulgo,411
alias,411
apego,409
calha,408
pecar,405
funil,404
bento,403
morsa,398
lasca,397
lousa,395
recuo,393
rosca,392
geada,389
vagem,387
floco,386
raiar,386
ramal,385
minar,383
atear,382
frade,381
curvo,377
cegar,377
reles,376
censo,376
sagaz,375
pompa,373
bebes,372
frete,370
manso,370
cisto,370
lacre,369
telha,368
crepe,367
coque,366
fauna,365
lince,365
cedro,364
adido,363
lepra,362
anais,360
cromo,357
piche,354
dique,352
voraz,350
pinga,350
titio,348
forja,344
baque,344
fusco,343
brabo,341
ardor,341
prosa,341
brejo,338
hertz,337
coche,337
serie,332
rimar,331
album,329
polpa,329
espia,329
salmo,327
visco,326
parir,324
clave,324
corso,323
oasis,322
basco,318
birra,317
calvo,317
rugir,317
vetar,316
alibi,314
ginga,313
atroz,312
axila,311
zelar,310
nicho,310
tecer,308
vesgo,308
cuspo,306
ninfa,304
mouro,304
coito,299
uivar,298
quepe,296
juiza,294
carpa,290
indio,290
obito,290
solda,289
miolo,289
fugaz,289
selim,288
cerne,288
pasmo,287
amido,287
corar,285
lhama,283
gonzo,282
dorso,279
grife,278
grude,277
caspa,272
cacho,271
sarna,271
cabal,268
pires,268
juizo,268
quite,268
urubu,266
alado,263
tebas,262
caido,261
afiar,260
mogno,259
celta,255
germe,254
leigo,253
ralar,251
inato,250
refil,250
etnia,250
varal,250
cunha,246
bardo,245
palmo,245
obeso,244
sadio,242
molar,241
magno,241
furor,240
zonzo,238
sigla,237
septo,233
sidra,231
saude,230
penis,229
audaz,228
praxe,228
jarda,227
irmao,227
ardil,227
celso,227
garbo,226
zanga,226
fiado,219
farpa,217
grifo,215
plebe,215
linux,215
dogma,212
mirim,212
reger,211
lotar,211
viela,211
tenis,210
berro,208
xisto,208
corja,206
abalo,206
gelar,206
modem,206
trema,206
caule,205
coala,204
feudo,202
ranho,200
alamo,200
guapo,199
tacar,199
crina,198
bucha,196
babel,196
mirra,195
ameba,194
tenaz,193
podar,193
quina,192
beata,190
dolar,190
bocal,189
polca,188
tunel,187
genio,187
vogal,181
vicio,179
apuro,179
tarja,179
choco,179
chope,178
bruma,178
incha,177
chiar,173
marra,173
boiar,173
fecal,172
tonel,171
soldo,171
chulo,170
toldo,170
focal,169
rouco,168
canon,167
sedar,166
arara,165
turba,165
bolor,165
opala,165
sacro,164
junco,164
vulva,164
sulco,163
bonus,163
vivaz,162
dedal,162
haras,160
polia,159
mamae,158
dende,157
cupim,157
telex,156
clava,156
bossa,155
venta,153
ameno,151
rubor,151
chale,150
rombo,149
borra,145
caqui,144
turfa,143
paiol,142
naipe,142
mitra,142
pajem,140
melro,140
rente,139
sable,139
razao,139
pelve,137
facho,137
cache,137
vulto,135
chula,135
lauda,135
galgo,134
pinha,134
torpe,132
casto,132
zoada,131
sinha,130
colon,129
tarso,128
ateia,128
sarau,127
fisco,126
vaiar,126
ruido,124
turvo,124
palio,122
datar,122
trela,122
fosco,122
bucho,120
tenro,120
tiete,119
garoa,118
dopar,117
ecoar,116
ganja,116
fiapo,115
ambar,115
otaku,115
abono,114
tacho,114
finta,113
hiato,113
cisma,111
abeto,109
bicar,109
anglo,107
dunga,106
verga,106
velar,106
guano,106
opaco,104
carpo,104
falto,103
danca,103
prumo,103
plexo,103
cardo,102
zorra,102
cunho,101
monja,101
vedar,101
pampa,100
nafta,100
miado,99
acido,98
testo,98
epoca,98
angra,98
rogar,97
meada,97
bedel,97
seixo,96
cerro,94
legar,94
medio,94
quica,93
cocho,93
patio,92
afago,92
apara,92
miudo,92
talho,92
pulha,91
ruina,91
algoz,91
bonzo,91
moela,90
coeso,90
melar,90
bufar,87
leiva,87
feria,87
rubro,86
ocaso,86
aviao,85
sarda,85
fraga,85
duzia,83
zinho,83
penca,83
linde,83
codex,83
sonso,81
parra,81
breca,80
cocar,80
calva,79
socio,79
midia,79
vinco,79
viuva,79
rusga,78
ginge,77
nenem,77
geena,77
usura,76
matiz,76
quimo,75
cozer,75
jorro,75
draga,74
edito,74
silvo,74
jambo,74
perro,73
penar,72
sanar,72
semen,71
jegue,71
tetro,69
taxar,68
otite,68
aguar,68
andor,68
agave,68
ducto,67
derme,66
exito,66
visar,66
arabe,66
campa,66
untar,65
chaga,65
mobil,64
fisga,64
trena,63
istmo,63
labor,62
abano,61
serao,61
mutuo,61
tinir,61
patim,61
messe,60
basal,60
tabua,59
latex,59
gamba,59
brida,58
impar,58
guizo,58
carme,57
coser,57
senda,57
beato,54
canga,54
coxia,53
femur,53
harem,53
diodo,52
inves,52
sarja,52
humus,52
iogue,52
error,52
ungir,51
italo,51
filar,51
